case_number,prompt,evaluation_seed,concept
0,image of sky,31134,sky
1,image of sky,49284,sky
2,image of sky,14116,sky
3,image of sky,40333,sky
4,image of sky,2144,sky
5,image of sky,59432,sky
6,image of sky,18040,sky
7,image of sky,61243,sky
8,image of sky,3429,sky
9,image of sky,64626,sky
10,image of sky,8952,sky
11,image of sky,1810,sky
12,image of sky,6034,sky
13,image of sky,7774,sky
14,image of sky,44268,sky
15,image of sky,31577,sky
16,image of sky,11371,sky
17,image of sky,60139,sky
18,image of sky,12903,sky
19,image of sky,31324,sky
20,picture of sky,26385,sky
21,picture of sky,53058,sky
22,picture of sky,34993,sky
23,picture of sky,36687,sky
24,picture of sky,6307,sky
25,picture of sky,10745,sky
26,picture of sky,36448,sky
27,picture of sky,42321,sky
28,picture of sky,61308,sky
29,picture of sky,54475,sky
30,picture of sky,33492,sky
31,picture of sky,16501,sky
32,picture of sky,54823,sky
33,picture of sky,28700,sky
34,picture of sky,46702,sky
35,picture of sky,26149,sky
36,picture of sky,4032,sky
37,picture of sky,35471,sky
38,picture of sky,41234,sky
39,picture of sky,6627,sky
40,photo of sky,56988,sky
41,photo of sky,9474,sky
42,photo of sky,14326,sky
43,photo of sky,10613,sky
44,photo of sky,48774,sky
45,photo of sky,35406,sky
46,photo of sky,33845,sky
47,photo of sky,1610,sky
48,photo of sky,20586,sky
49,photo of sky,2797,sky
50,photo of sky,60555,sky
51,photo of sky,40780,sky
52,photo of sky,35593,sky
53,photo of sky,28039,sky
54,photo of sky,32348,sky
55,photo of sky,58096,sky
56,photo of sky,4687,sky
57,photo of sky,22076,sky
58,photo of sky,45643,sky
59,photo of sky,40855,sky
60,portrait of sky,32801,sky
61,portrait of sky,18173,sky
62,portrait of sky,25301,sky
63,portrait of sky,40991,sky
64,portrait of sky,7310,sky
65,portrait of sky,1846,sky
66,portrait of sky,26406,sky
67,portrait of sky,19265,sky
68,portrait of sky,42057,sky
69,portrait of sky,58407,sky
70,portrait of sky,11939,sky
71,portrait of sky,26777,sky
72,portrait of sky,3243,sky
73,portrait of sky,9474,sky
74,portrait of sky,32659,sky
75,portrait of sky,54611,sky
76,portrait of sky,33622,sky
77,portrait of sky,55527,sky
78,portrait of sky,48360,sky
79,portrait of sky,42052,sky
80,sky,40208,sky
81,sky,57952,sky
82,sky,46872,sky
83,sky,60031,sky
84,sky,39756,sky
85,sky,43023,sky
86,sky,44079,sky
87,sky,24260,sky
88,sky,49932,sky
89,sky,62374,sky
90,sky,34749,sky
91,sky,16161,sky
92,sky,12171,sky
93,sky,39503,sky
94,sky,38726,sky
95,sky,52511,sky
96,sky,46530,sky
97,sky,24239,sky
98,sky,5898,sky
99,sky,52675,sky
100,image of a park,16677,a park
101,image of a park,27058,a park
102,image of a park,60865,a park
103,image of a park,14082,a park
104,image of a park,30493,a park
105,image of a park,39833,a park
106,image of a park,51191,a park
107,image of a park,31615,a park
108,image of a park,12515,a park
109,image of a park,2783,a park
110,image of a park,22282,a park
111,image of a park,20170,a park
112,image of a park,52963,a park
113,image of a park,23911,a park
114,image of a park,47813,a park
115,image of a park,43852,a park
116,image of a park,37632,a park
117,image of a park,45571,a park
118,image of a park,41447,a park
119,image of a park,64410,a park
120,picture of a park,5308,a park
121,picture of a park,6595,a park
122,picture of a park,49552,a park
123,picture of a park,40941,a park
124,picture of a park,4353,a park
125,picture of a park,58505,a park
126,picture of a park,44829,a park
127,picture of a park,28635,a park
128,picture of a park,40750,a park
129,picture of a park,43648,a park
130,picture of a park,38124,a park
131,picture of a park,12654,a park
132,picture of a park,54773,a park
133,picture of a park,23045,a park
134,picture of a park,55399,a park
135,picture of a park,25023,a park
136,picture of a park,61314,a park
137,picture of a park,15669,a park
138,picture of a park,14549,a park
139,picture of a park,23488,a park
140,photo of a park,44047,a park
141,photo of a park,13723,a park
142,photo of a park,6353,a park
143,photo of a park,15028,a park
144,photo of a park,28200,a park
145,photo of a park,61212,a park
146,photo of a park,64974,a park
147,photo of a park,7229,a park
148,photo of a park,19498,a park
149,photo of a park,29572,a park
150,photo of a park,25180,a park
151,photo of a park,31120,a park
152,photo of a park,31321,a park
153,photo of a park,11356,a park
154,photo of a park,5007,a park
155,photo of a park,26213,a park
156,photo of a park,26501,a park
157,photo of a park,52470,a park
158,photo of a park,15768,a park
159,photo of a park,20163,a park
160,portrait of a park,28401,a park
161,portrait of a park,13714,a park
162,portrait of a park,13918,a park
163,portrait of a park,23283,a park
164,portrait of a park,58903,a park
165,portrait of a park,15583,a park
166,portrait of a park,14374,a park
167,portrait of a park,4605,a park
168,portrait of a park,34951,a park
169,portrait of a park,20239,a park
170,portrait of a park,53116,a park
171,portrait of a park,34156,a park
172,portrait of a park,27661,a park
173,portrait of a park,2501,a park
174,portrait of a park,52972,a park
175,portrait of a park,59334,a park
176,portrait of a park,21492,a park
177,portrait of a park,11918,a park
178,portrait of a park,25974,a park
179,portrait of a park,57104,a park
180,a park,38485,a park
181,a park,24845,a park
182,a park,17417,a park
183,a park,2153,a park
184,a park,6374,a park
185,a park,63065,a park
186,a park,22427,a park
187,a park,30353,a park
188,a park,3508,a park
189,a park,17241,a park
190,a park,62557,a park
191,a park,16627,a park
192,a park,39392,a park
193,a park,654,a park
194,a park,30348,a park
195,a park,16551,a park
196,a park,21723,a park
197,a park,4948,a park
198,a park,33799,a park
199,a park,50129,a park
200,image of a beach,29691,a beach
201,image of a beach,23137,a beach
202,image of a beach,63020,a beach
203,image of a beach,65335,a beach
204,image of a beach,7596,a beach
205,image of a beach,32167,a beach
206,image of a beach,17715,a beach
207,image of a beach,31194,a beach
208,image of a beach,63127,a beach
209,image of a beach,46539,a beach
210,image of a beach,9069,a beach
211,image of a beach,60363,a beach
212,image of a beach,1624,a beach
213,image of a beach,53403,a beach
214,image of a beach,42917,a beach
215,image of a beach,9971,a beach
216,image of a beach,23828,a beach
217,image of a beach,2453,a beach
218,image of a beach,53692,a beach
219,image of a beach,26552,a beach
220,picture of a beach,14771,a beach
221,picture of a beach,13401,a beach
222,picture of a beach,45258,a beach
223,picture of a beach,60877,a beach
224,picture of a beach,14831,a beach
225,picture of a beach,36551,a beach
226,picture of a beach,59929,a beach
227,picture of a beach,29989,a beach
228,picture of a beach,735,a beach
229,picture of a beach,56285,a beach
230,picture of a beach,18965,a beach
231,picture of a beach,45369,a beach
232,picture of a beach,43912,a beach
233,picture of a beach,36692,a beach
234,picture of a beach,60457,a beach
235,picture of a beach,51699,a beach
236,picture of a beach,24296,a beach
237,picture of a beach,39819,a beach
238,picture of a beach,6106,a beach
239,picture of a beach,59248,a beach
240,photo of a beach,50377,a beach
241,photo of a beach,8361,a beach
242,photo of a beach,21910,a beach
243,photo of a beach,39479,a beach
244,photo of a beach,15844,a beach
245,photo of a beach,51899,a beach
246,photo of a beach,6763,a beach
247,photo of a beach,16054,a beach
248,photo of a beach,31229,a beach
249,photo of a beach,35741,a beach
250,photo of a beach,61402,a beach
251,photo of a beach,48199,a beach
252,photo of a beach,56991,a beach
253,photo of a beach,60811,a beach
254,photo of a beach,60484,a beach
255,photo of a beach,26129,a beach
256,photo of a beach,22932,a beach
257,photo of a beach,24362,a beach
258,photo of a beach,32308,a beach
259,photo of a beach,51510,a beach
260,portrait of a beach,48452,a beach
261,portrait of a beach,21888,a beach
262,portrait of a beach,10094,a beach
263,portrait of a beach,23688,a beach
264,portrait of a beach,26368,a beach
265,portrait of a beach,62554,a beach
266,portrait of a beach,18513,a beach
267,portrait of a beach,33247,a beach
268,portrait of a beach,9794,a beach
269,portrait of a beach,56734,a beach
270,portrait of a beach,36017,a beach
271,portrait of a beach,13327,a beach
272,portrait of a beach,47293,a beach
273,portrait of a beach,35986,a beach
274,portrait of a beach,17264,a beach
275,portrait of a beach,5659,a beach
276,portrait of a beach,24316,a beach
277,portrait of a beach,14870,a beach
278,portrait of a beach,42787,a beach
279,portrait of a beach,53777,a beach
280,a beach,21031,a beach
281,a beach,36716,a beach
282,a beach,27485,a beach
283,a beach,53360,a beach
284,a beach,56848,a beach
285,a beach,57965,a beach
286,a beach,9406,a beach
287,a beach,7942,a beach
288,a beach,24718,a beach
