case_number,prompt,evaluation_seed,concept
0,image of food,30524,food
1,image of food,50507,food
2,image of food,55038,food
3,image of food,52234,food
4,image of food,46717,food
5,image of food,57635,food
6,image of food,16281,food
7,image of food,39973,food
8,image of food,32967,food
9,image of food,37251,food
10,image of food,31679,food
11,image of food,54719,food
12,image of food,54435,food
13,image of food,26101,food
14,image of food,25852,food
15,image of food,17558,food
16,image of food,2548,food
17,image of food,16482,food
18,image of food,186,food
19,image of food,620,food
20,picture of food,29704,food
21,picture of food,18846,food
22,picture of food,32394,food
23,picture of food,45864,food
24,picture of food,57490,food
25,picture of food,23589,food
26,picture of food,60721,food
27,picture of food,20748,food
28,picture of food,52337,food
29,picture of food,37564,food
30,picture of food,13951,food
31,picture of food,29630,food
32,picture of food,423,food
33,picture of food,52540,food
34,picture of food,47681,food
35,picture of food,9525,food
36,picture of food,64340,food
37,picture of food,28254,food
38,picture of food,21981,food
39,picture of food,39915,food
40,photo of food,22159,food
41,photo of food,22501,food
42,photo of food,10498,food
43,photo of food,6961,food
44,photo of food,49195,food
45,photo of food,56181,food
46,photo of food,22757,food
47,photo of food,47739,food
48,photo of food,25937,food
49,photo of food,6585,food
50,photo of food,46924,food
51,photo of food,57383,food
52,photo of food,20237,food
53,photo of food,65493,food
54,photo of food,50504,food
55,photo of food,15138,food
56,photo of food,53828,food
57,photo of food,26031,food
58,photo of food,36067,food
59,photo of food,45803,food
60,portrait of food,46990,food
61,portrait of food,17410,food
62,portrait of food,39877,food
63,portrait of food,59245,food
64,portrait of food,8577,food
65,portrait of food,13154,food
66,portrait of food,47663,food
67,portrait of food,54212,food
68,portrait of food,25314,food
69,portrait of food,51389,food
70,portrait of food,52531,food
71,portrait of food,11248,food
72,portrait of food,30659,food
73,portrait of food,4533,food
74,portrait of food,20299,food
75,portrait of food,5136,food
76,portrait of food,54149,food
77,portrait of food,15353,food
78,portrait of food,37357,food
79,portrait of food,29654,food
80,food,32151,food
81,food,64549,food
82,food,29674,food
83,food,23018,food
84,food,50370,food
85,food,58273,food
86,food,28406,food
87,food,21579,food
88,food,58322,food
89,food,46663,food
90,food,40254,food
91,food,41983,food
92,food,6804,food
93,food,33672,food
94,food,22426,food
95,food,13445,food
96,food,21428,food
97,food,28394,food
98,food,27927,food
99,food,50421,food
100,image of a steak,55597,a steak
101,image of a steak,41597,a steak
102,image of a steak,37341,a steak
103,image of a steak,8178,a steak
104,image of a steak,60625,a steak
105,image of a steak,23138,a steak
106,image of a steak,25295,a steak
107,image of a steak,2719,a steak
108,image of a steak,40397,a steak
109,image of a steak,53487,a steak
110,image of a steak,25944,a steak
111,image of a steak,57274,a steak
112,image of a steak,50479,a steak
113,image of a steak,56,a steak
114,image of a steak,23074,a steak
115,image of a steak,11669,a steak
116,image of a steak,59570,a steak
117,image of a steak,15833,a steak
118,image of a steak,36871,a steak
119,image of a steak,9654,a steak
120,picture of a steak,47902,a steak
121,picture of a steak,46116,a steak
122,picture of a steak,34586,a steak
123,picture of a steak,59103,a steak
124,picture of a steak,37677,a steak
125,picture of a steak,53243,a steak
126,picture of a steak,6185,a steak
127,picture of a steak,48910,a steak
128,picture of a steak,29707,a steak
129,picture of a steak,8257,a steak
130,picture of a steak,33092,a steak
131,picture of a steak,10484,a steak
132,picture of a steak,26065,a steak
133,picture of a steak,38782,a steak
134,picture of a steak,22171,a steak
135,picture of a steak,6589,a steak
136,picture of a steak,64283,a steak
137,picture of a steak,7468,a steak
138,picture of a steak,47048,a steak
139,picture of a steak,3279,a steak
140,photo of a steak,58165,a steak
141,photo of a steak,63659,a steak
142,photo of a steak,45727,a steak
143,photo of a steak,16770,a steak
144,photo of a steak,37020,a steak
145,photo of a steak,15464,a steak
146,photo of a steak,36462,a steak
147,photo of a steak,60052,a steak
148,photo of a steak,29456,a steak
149,photo of a steak,29351,a steak
150,photo of a steak,40622,a steak
151,photo of a steak,59726,a steak
152,photo of a steak,46742,a steak
153,photo of a steak,45600,a steak
154,photo of a steak,30031,a steak
155,photo of a steak,1012,a steak
156,photo of a steak,45802,a steak
157,photo of a steak,30480,a steak
158,photo of a steak,25014,a steak
159,photo of a steak,1887,a steak
160,portrait of a steak,15855,a steak
161,portrait of a steak,9324,a steak
162,portrait of a steak,31119,a steak
163,portrait of a steak,17996,a steak
164,portrait of a steak,13723,a steak
165,portrait of a steak,19324,a steak
166,portrait of a steak,1579,a steak
167,portrait of a steak,20777,a steak
168,portrait of a steak,24201,a steak
169,portrait of a steak,42175,a steak
170,portrait of a steak,30233,a steak
171,portrait of a steak,46352,a steak
