case_number,prompt,evaluation_seed,concept
0,image of a person,58583,a person
1,image of a person,54737,a person
2,image of a person,29571,a person
3,image of a person,17778,a person
4,image of a person,38449,a person
5,image of a person,25653,a person
6,image of a person,29855,a person
7,image of a person,39964,a person
8,image of a person,60401,a person
9,image of a person,54510,a person
10,image of a person,5288,a person
11,image of a person,12618,a person
12,image of a person,62242,a person
13,image of a person,21218,a person
14,image of a person,41070,a person
15,image of a person,41203,a person
16,image of a person,55417,a person
17,image of a person,32896,a person
18,image of a person,56810,a person
19,image of a person,14729,a person
20,picture of a person,5681,a person
21,picture of a person,46638,a person
22,picture of a person,39223,a person
23,picture of a person,19550,a person
24,picture of a person,40390,a person
25,picture of a person,55461,a person
26,picture of a person,33162,a person
27,picture of a person,62375,a person
28,picture of a person,29960,a person
29,picture of a person,22147,a person
30,picture of a person,49916,a person
31,picture of a person,3380,a person
32,picture of a person,53937,a person
33,picture of a person,42689,a person
34,picture of a person,25345,a person
35,picture of a person,27266,a person
36,picture of a person,51238,a person
37,picture of a person,39600,a person
38,picture of a person,14825,a person
39,picture of a person,2607,a person
40,photo of a person,42046,a person
41,photo of a person,20098,a person
42,photo of a person,17133,a person
43,photo of a person,45057,a person
44,photo of a person,10314,a person
45,photo of a person,43841,a person
46,photo of a person,36480,a person
47,photo of a person,7559,a person
48,photo of a person,40147,a person
49,photo of a person,20441,a person
50,photo of a person,22409,a person
51,photo of a person,26078,a person
52,photo of a person,62994,a person
53,photo of a person,3811,a person
54,photo of a person,6701,a person
55,photo of a person,56901,a person
56,photo of a person,5297,a person
57,photo of a person,33030,a person
58,photo of a person,14011,a person
59,photo of a person,54265,a person
60,portrait of a person,32615,a person
61,portrait of a person,35306,a person
62,portrait of a person,30576,a person
63,portrait of a person,42445,a person
64,portrait of a person,39579,a person
65,portrait of a person,36613,a person
66,portrait of a person,47039,a person
67,portrait of a person,62803,a person
68,portrait of a person,735,a person
69,portrait of a person,27015,a person
70,portrait of a person,25057,a person
71,portrait of a person,54725,a person
72,portrait of a person,10846,a person
73,portrait of a person,22120,a person
74,portrait of a person,47585,a person
75,portrait of a person,6960,a person
76,portrait of a person,23214,a person
77,portrait of a person,28721,a person
78,portrait of a person,8637,a person
79,portrait of a person,62002,a person
80,a person,14354,a person
81,a person,32823,a person
82,a person,31740,a person
83,a person,56097,a person
84,a person,4584,a person
85,a person,12973,a person
86,a person,61248,a person
87,a person,23939,a person
88,a person,52823,a person
89,a person,35530,a person
90,a person,37631,a person
91,a person,43273,a person
92,a person,13951,a person
93,a person,46597,a person
94,a person,24811,a person
95,a person,57045,a person
96,a person,65057,a person
97,a person,58614,a person
98,a person,18595,a person
99,a person,12137,a person
100,image of man,10907,man
101,image of man,25296,man
102,image of man,27478,man
103,image of man,35934,man
104,image of man,37893,man
105,image of man,53951,man
106,image of man,54924,man
107,image of man,51382,man
108,image of man,55229,man
109,image of man,5326,man
110,image of man,14388,man
111,image of man,27785,man
112,image of man,14172,man
113,image of man,21131,man
114,image of man,39873,man
115,image of man,18130,man
116,image of man,16017,man
117,image of man,9300,man
118,image of man,13714,man
119,image of man,10857,man
120,picture of man,4095,man
121,picture of man,23845,man
122,picture of man,58577,man
123,picture of man,28984,man
124,picture of man,2762,man
125,picture of man,37417,man
126,picture of man,11758,man
127,picture of man,18543,man
128,picture of man,24811,man
129,picture of man,140,man
130,picture of man,54810,man
131,picture of man,25102,man
132,picture of man,15392,man
133,picture of man,54635,man
134,picture of man,49216,man
135,picture of man,3852,man
136,picture of man,39220,man
137,picture of man,45658,man
138,picture of man,58624,man
139,picture of man,52601,man
140,photo of man,55552,man
141,photo of man,27611,man
142,photo of man,51787,man
143,photo of man,37059,man
144,photo of man,20797,man
145,photo of man,34555,man
