case_number,prompt,evaluation_seed,concept
0,image of a room,14647,a room
1,image of a room,37797,a room
2,image of a room,45595,a room
3,image of a room,4158,a room
4,image of a room,7062,a room
5,image of a room,48001,a room
6,image of a room,56041,a room
7,image of a room,58511,a room
8,image of a room,41197,a room
9,image of a room,34127,a room
10,image of a room,65200,a room
11,image of a room,18333,a room
12,image of a room,7016,a room
13,image of a room,2899,a room
14,image of a room,28866,a room
15,image of a room,58994,a room
16,image of a room,35589,a room
17,image of a room,5930,a room
18,image of a room,58126,a room
19,image of a room,50565,a room
20,picture of a room,64961,a room
21,picture of a room,16544,a room
22,picture of a room,43579,a room
23,picture of a room,42550,a room
24,picture of a room,12701,a room
25,picture of a room,57822,a room
26,picture of a room,46633,a room
27,picture of a room,23712,a room
28,picture of a room,45878,a room
29,picture of a room,38308,a room
30,picture of a room,36638,a room
31,picture of a room,59362,a room
32,picture of a room,48683,a room
33,picture of a room,50836,a room
34,picture of a room,40451,a room
35,picture of a room,65150,a room
36,picture of a room,24711,a room
37,picture of a room,42723,a room
38,picture of a room,725,a room
39,picture of a room,24289,a room
40,photo of a room,37394,a room
41,photo of a room,46386,a room
42,photo of a room,10342,a room
43,photo of a room,46203,a room
44,photo of a room,57966,a room
45,photo of a room,22718,a room
46,photo of a room,17177,a room
47,photo of a room,40629,a room
48,photo of a room,11769,a room
49,photo of a room,15058,a room
50,photo of a room,13322,a room
51,photo of a room,39524,a room
52,photo of a room,6509,a room
53,photo of a room,25998,a room
54,photo of a room,63366,a room
55,photo of a room,51459,a room
56,photo of a room,5377,a room
57,photo of a room,20683,a room
58,photo of a room,5249,a room
59,photo of a room,32949,a room
60,portrait of a room,7646,a room
61,portrait of a room,15823,a room
62,portrait of a room,4685,a room
63,portrait of a room,10250,a room
64,portrait of a room,41896,a room
65,portrait of a room,62770,a room
66,portrait of a room,13239,a room
67,portrait of a room,60718,a room
68,portrait of a room,35381,a room
69,portrait of a room,53854,a room
70,portrait of a room,60633,a room
71,portrait of a room,4414,a room
72,portrait of a room,1919,a room
73,portrait of a room,30299,a room
74,portrait of a room,54637,a room
75,portrait of a room,6789,a room
76,portrait of a room,6966,a room
77,portrait of a room,40100,a room
78,portrait of a room,12021,a room
79,portrait of a room,34502,a room
80,a room,6838,a room
81,a room,34971,a room
82,a room,39490,a room
83,a room,35363,a room
84,a room,51557,a room
85,a room,22363,a room
86,a room,49715,a room
87,a room,1814,a room
88,a room,6813,a room
89,a room,49108,a room
90,a room,38070,a room
91,a room,21730,a room
92,a room,47652,a room
93,a room,5651,a room
94,a room,11085,a room
95,a room,29464,a room
96,a room,56554,a room
97,a room,6325,a room
98,a room,45751,a room
99,a room,62024,a room
100,image of a bedroom,37289,a bedroom
101,image of a bedroom,38206,a bedroom
102,image of a bedroom,16512,a bedroom
103,image of a bedroom,11243,a bedroom
104,image of a bedroom,61809,a bedroom
105,image of a bedroom,32105,a bedroom
106,image of a bedroom,16891,a bedroom
107,image of a bedroom,59778,a bedroom
108,image of a bedroom,56520,a bedroom
109,image of a bedroom,61431,a bedroom
110,image of a bedroom,26301,a bedroom
111,image of a bedroom,48857,a bedroom
112,image of a bedroom,48717,a bedroom
113,image of a bedroom,16409,a bedroom
114,image of a bedroom,23302,a bedroom
115,image of a bedroom,63882,a bedroom
116,image of a bedroom,59844,a bedroom
117,image of a bedroom,5712,a bedroom
118,image of a bedroom,47769,a bedroom
119,image of a bedroom,23760,a bedroom
120,picture of a bedroom,5085,a bedroom
121,picture of a bedroom,50565,a bedroom
122,picture of a bedroom,34681,a bedroom
123,picture of a bedroom,44694,a bedroom
124,picture of a bedroom,9810,a bedroom
125,picture of a bedroom,14605,a bedroom
126,picture of a bedroom,12295,a bedroom
127,picture of a bedroom,12079,a bedroom
128,picture of a bedroom,10051,a bedroom
129,picture of a bedroom,15395,a bedroom
130,picture of a bedroom,59143,a bedroom
131,picture of a bedroom,37174,a bedroom
132,picture of a bedroom,50040,a bedroom
133,picture of a bedroom,9897,a bedroom
134,picture of a bedroom,32811,a bedroom
135,picture of a bedroom,15845,a bedroom
136,picture of a bedroom,4560,a bedroom
137,picture of a bedroom,8291,a bedroom
138,picture of a bedroom,5060,a bedroom
139,picture of a bedroom,20604,a bedroom
140,photo of a bedroom,16150,a bedroom
141,photo of a bedroom,4709,a bedroom
142,photo of a bedroom,35212,a bedroom
143,photo of a bedroom,35348,a bedroom
144,photo of a bedroom,37933,a bedroom
145,photo of a bedroom,17775,a bedroom
146,photo of a bedroom,12318,a bedroom
147,photo of a bedroom,31659,a bedroom
148,photo of a bedroom,39328,a bedroom
149,photo of a bedroom,53960,a bedroom
150,photo of a bedroom,27188,a bedroom
151,photo of a bedroom,62078,a bedroom
152,photo of a bedroom,14197,a bedroom
153,photo of a bedroom,24852,a bedroom
154,photo of a bedroom,11303,a bedroom
155,photo of a bedroom,23278,a bedroom
156,photo of a bedroom,995,a bedroom
157,photo of a bedroom,53401,a bedroom
158,photo of a bedroom,30406,a bedroom
159,photo of a bedroom,41710,a bedroom
160,portrait of a bedroom,37383,a bedroom
161,portrait of a bedroom,12117,a bedroom
162,portrait of a bedroom,60827,a bedroom
163,portrait of a bedroom,1905,a bedroom
164,portrait of a bedroom,38661,a bedroom
165,portrait of a bedroom,31548,a bedroom
166,portrait of a bedroom,7063,a bedroom
167,portrait of a bedroom,8159,a bedroom
168,portrait of a bedroom,31964,a bedroom
169,portrait of a bedroom,9512,a bedroom
170,portrait of a bedroom,8465,a bedroom
171,portrait of a bedroom,7738,a bedroom
172,portrait of a bedroom,23533,a bedroom
173,portrait of a bedroom,61366,a bedroom
174,portrait of a bedroom,65116,a bedroom
175,portrait of a bedroom,33542,a bedroom
176,portrait of a bedroom,31463,a bedroom
177,portrait of a bedroom,9889,a bedroom
178,portrait of a bedroom,60671,a bedroom
179,portrait of a bedroom,49584,a bedroom
180,a bedroom,61463,a bedroom
181,a bedroom,27573,a bedroom
182,a bedroom,32951,a bedroom
183,a bedroom,22710,a bedroom
184,a bedroom,9435,a bedroom
185,a bedroom,24960,a bedroom
186,a bedroom,48024,a bedroom
187,a bedroom,54848,a bedroom
188,a bedroom,64324,a bedroom
189,a bedroom,52552,a bedroom
190,a bedroom,12635,a bedroom
191,a bedroom,60089,a bedroom
192,a bedroom,9320,a bedroom
193,a bedroom,1033,a bedroom
194,a bedroom,17573,a bedroom
195,a bedroom,7485,a bedroom
196,a bedroom,31366,a bedroom
197,a bedroom,11736,a bedroom
198,a bedroom,36372,a bedroom
199,a bedroom,43021,a bedroom
200,image of a living room,27198,a living room
201,image of a living room,31610,a living room
202,image of a living room,25453,a living room
203,image of a living room,7380,a living room
204,image of a living room,838,a living room
205,image of a living room,44687,a living room
206,image of a living room,8036,a living room
207,image of a living room,37270,a living room
208,image of a living room,15569,a living room
209,image of a living room,48033,a living room
210,image of a living room,13762,a living room
211,image of a living room,21580,a living room
212,image of a living room,61082,a living room
213,image of a living room,11816,a living room
214,image of a living room,6781,a living room
215,image of a living room,3890,a living room
216,image of a living room,7270,a living room
217,image of a living room,52158,a living room
218,image of a living room,12392,a living room
219,image of a living room,40645,a living room
220,picture of a living room,64915,a living room
221,picture of a living room,11233,a living room
222,picture of a living room,52604,a living room
223,picture of a living room,11823,a living room
224,picture of a living room,44386,a living room
225,picture of a living room,27792,a living room
226,picture of a living room,38971,a living room
227,picture of a living room,50035,a living room
228,picture of a living room,38666,a living room
229,picture of a living room,3546,a living room
230,picture of a living room,21408,a living room
231,picture of a living room,31578,a living room
232,picture of a living room,45364,a living room
233,picture of a living room,26427,a living room
234,picture of a living room,53289,a living room
235,picture of a living room,22282,a living room
236,picture of a living room,56951,a living room
237,picture of a living room,53671,a living room
238,picture of a living room,62506,a living room
239,picture of a living room,15045,a living room
240,photo of a living room,12356,a living room
241,photo of a living room,48849,a living room
242,photo of a living room,50112,a living room
243,photo of a living room,31742,a living room
244,photo of a living room,39816,a living room
245,photo of a living room,8727,a living room
246,photo of a living room,21146,a living room
247,photo of a living room,1910,a living room
248,photo of a living room,64242,a living room
249,photo of a living room,12333,a living room
250,photo of a living room,41532,a living room
251,photo of a living room,20854,a living room
252,photo of a living room,55748,a living room
253,photo of a living room,60390,a living room
254,photo of a living room,45674,a living room
255,photo of a living room,41619,a living room
256,photo of a living room,59879,a living room
257,photo of a living room,54825,a living room
258,photo of a living room,26359,a living room
259,photo of a living room,31961,a living room
260,portrait of a living room,24815,a living room
261,portrait of a living room,3686,a living room
262,portrait of a living room,35274,a living room
