case_number,prompt,evaluation_seed,concept
0,image of a car,10791,a car
1,image of a car,20088,a car
2,image of a car,38800,a car
3,image of a car,33183,a car
4,image of a car,62974,a car
5,image of a car,35132,a car
6,image of a car,22765,a car
7,image of a car,17230,a car
8,image of a car,45257,a car
9,image of a car,2943,a car
10,image of a car,6743,a car
11,image of a car,50361,a car
12,image of a car,30962,a car
13,image of a car,41461,a car
14,image of a car,7150,a car
15,image of a car,33801,a car
16,image of a car,12155,a car
17,image of a car,31955,a car
18,image of a car,1769,a car
19,image of a car,42379,a car
20,picture of a car,36856,a car
21,picture of a car,8208,a car
22,picture of a car,57104,a car
23,picture of a car,37479,a car
24,picture of a car,46701,a car
25,picture of a car,34770,a car
26,picture of a car,30772,a car
27,picture of a car,42122,a car
28,picture of a car,1067,a car
29,picture of a car,15783,a car
30,picture of a car,30189,a car
31,picture of a car,9874,a car
32,picture of a car,28512,a car
33,picture of a car,10197,a car
34,picture of a car,23919,a car
35,picture of a car,47632,a car
36,picture of a car,7430,a car
37,picture of a car,33249,a car
38,picture of a car,31857,a car
39,picture of a car,43981,a car
40,photo of a car,12472,a car
41,photo of a car,58133,a car
42,photo of a car,40366,a car
43,photo of a car,16668,a car
44,photo of a car,26828,a car
45,photo of a car,14386,a car
46,photo of a car,7351,a car
47,photo of a car,19371,a car
48,photo of a car,8229,a car
49,photo of a car,48178,a car
50,photo of a car,61905,a car
51,photo of a car,1026,a car
52,photo of a car,19824,a car
53,photo of a car,47917,a car
54,photo of a car,31116,a car
55,photo of a car,40576,a car
56,photo of a car,17514,a car
57,photo of a car,12290,a car
58,photo of a car,15427,a car
59,photo of a car,2417,a car
60,portrait of a car,13989,a car
61,portrait of a car,31887,a car
62,portrait of a car,37491,a car
63,portrait of a car,45715,a car
64,portrait of a car,39026,a car
65,portrait of a car,5541,a car
66,portrait of a car,62526,a car
67,portrait of a car,57167,a car
68,portrait of a car,20501,a car
69,portrait of a car,44412,a car
70,portrait of a car,4729,a car
71,portrait of a car,20273,a car
72,portrait of a car,47728,a car
73,portrait of a car,20067,a car
74,portrait of a car,10354,a car
75,portrait of a car,40209,a car
76,portrait of a car,21646,a car
77,portrait of a car,39843,a car
78,portrait of a car,7547,a car
79,portrait of a car,58080,a car
80,a car,64774,a car
81,a car,35241,a car
82,a car,24472,a car
83,a car,49286,a car
84,a car,19393,a car
85,a car,23029,a car
86,a car,28160,a car
87,a car,52420,a car
88,a car,31856,a car
89,a car,60725,a car
90,a car,45589,a car
91,a car,41549,a car
92,a car,46239,a car
93,a car,43178,a car
94,a car,17296,a car
95,a car,59955,a car
96,a car,46936,a car
97,a car,62213,a car
98,a car,17642,a car
99,a car,6302,a car
100,image of a chevy,14561,a chevy
101,image of a chevy,31187,a chevy
102,image of a chevy,58912,a chevy
103,image of a chevy,24755,a chevy
104,image of a chevy,14535,a chevy
105,image of a chevy,44374,a chevy
106,image of a chevy,6490,a chevy
107,image of a chevy,42077,a chevy
108,image of a chevy,64952,a chevy
109,image of a chevy,750,a chevy
110,image of a chevy,56741,a chevy
111,image of a chevy,43226,a chevy
112,image of a chevy,38626,a chevy
113,image of a chevy,50404,a chevy
114,image of a chevy,23223,a chevy
115,image of a chevy,6933,a chevy
116,image of a chevy,47500,a chevy
117,image of a chevy,39860,a chevy
118,image of a chevy,3455,a chevy
119,image of a chevy,29601,a chevy
120,picture of a chevy,3524,a chevy
121,picture of a chevy,9786,a chevy
122,picture of a chevy,44535,a chevy
123,picture of a chevy,26862,a chevy
124,picture of a chevy,49047,a chevy
125,picture of a chevy,29461,a chevy
126,picture of a chevy,38854,a chevy
127,picture of a chevy,7740,a chevy
128,picture of a chevy,289,a chevy
129,picture of a chevy,5564,a chevy
130,picture of a chevy,37919,a chevy
131,picture of a chevy,7868,a chevy
132,picture of a chevy,53785,a chevy
133,picture of a chevy,42371,a chevy
134,picture of a chevy,46562,a chevy
135,picture of a chevy,29460,a chevy
136,picture of a chevy,56133,a chevy
137,picture of a chevy,23454,a chevy
138,picture of a chevy,48421,a chevy
139,picture of a chevy,47722,a chevy
140,photo of a chevy,33299,a chevy
141,photo of a chevy,8871,a chevy
142,photo of a chevy,28300,a chevy
143,photo of a chevy,27045,a chevy
144,photo of a chevy,4300,a chevy
145,photo of a chevy,63872,a chevy
146,photo of a chevy,58573,a chevy
147,photo of a chevy,2159,a chevy
148,photo of a chevy,16116,a chevy
149,photo of a chevy,17517,a chevy
150,photo of a chevy,4807,a chevy
151,photo of a chevy,45024,a chevy
152,photo of a chevy,31948,a chevy
153,photo of a chevy,50209,a chevy
154,photo of a chevy,52748,a chevy
155,photo of a chevy,42872,a chevy
156,photo of a chevy,60624,a chevy
157,photo of a chevy,16649,a chevy
158,photo of a chevy,14929,a chevy
159,photo of a chevy,41158,a chevy
160,portrait of a chevy,23779,a chevy
161,portrait of a chevy,19224,a chevy
162,portrait of a chevy,52177,a chevy
163,portrait of a chevy,54192,a chevy
164,portrait of a chevy,10540,a chevy
165,portrait of a chevy,10181,a chevy
166,portrait of a chevy,23110,a chevy
167,portrait of a chevy,38218,a chevy
168,portrait of a chevy,8972,a chevy
169,portrait of a chevy,14254,a chevy
170,portrait of a chevy,24256,a chevy
171,portrait of a chevy,1661,a chevy
172,portrait of a chevy,58713,a chevy
173,portrait of a chevy,53900,a chevy
174,portrait of a chevy,44915,a chevy
175,portrait of a chevy,515,a chevy
176,portrait of a chevy,44100,a chevy
177,portrait of a chevy,47722,a chevy
178,portrait of a chevy,43020,a chevy
179,portrait of a chevy,6297,a chevy
180,a chevy,28606,a chevy
181,a chevy,40770,a chevy
182,a chevy,23297,a chevy
183,a chevy,15821,a chevy
184,a chevy,48013,a chevy
185,a chevy,41170,a chevy
186,a chevy,36964,a chevy
187,a chevy,37965,a chevy
188,a chevy,59276,a chevy
189,a chevy,52203,a chevy
190,a chevy,42385,a chevy
191,a chevy,24324,a chevy
192,a chevy,60992,a chevy
193,a chevy,58814,a chevy
194,a chevy,1551,a chevy
195,a chevy,6011,a chevy
196,a chevy,12041,a chevy
197,a chevy,10177,a chevy
198,a chevy,48586,a chevy
199,a chevy,40948,a chevy
200,image of a ford,18327,a ford
201,image of a ford,2833,a ford
202,image of a ford,25468,a ford
203,image of a ford,36346,a ford
204,image of a ford,56145,a ford
205,image of a ford,47652,a ford
206,image of a ford,61031,a ford
207,image of a ford,27554,a ford
208,image of a ford,12650,a ford
209,image of a ford,63923,a ford
210,image of a ford,8670,a ford
211,image of a ford,38339,a ford
212,image of a ford,58964,a ford
213,image of a ford,29995,a ford
214,image of a ford,3501,a ford
215,image of a ford,19979,a ford
216,image of a ford,34281,a ford
217,image of a ford,43579,a ford
218,image of a ford,55498,a ford
219,image of a ford,5279,a ford
220,picture of a ford,22344,a ford
221,picture of a ford,17353,a ford
222,picture of a ford,36369,a ford
223,picture of a ford,16708,a ford
224,picture of a ford,52629,a ford
225,picture of a ford,45932,a ford
226,picture of a ford,50068,a ford
227,picture of a ford,39906,a ford
228,picture of a ford,21932,a ford
229,picture of a ford,63226,a ford
230,picture of a ford,45706,a ford
231,picture of a ford,14682,a ford
232,picture of a ford,37435,a ford
233,picture of a ford,39980,a ford
234,picture of a ford,45392,a ford
235,picture of a ford,19736,a ford
236,picture of a ford,51576,a ford
237,picture of a ford,3992,a ford
238,picture of a ford,49239,a ford
239,picture of a ford,58445,a ford
240,photo of a ford,9252,a ford
241,photo of a ford,57121,a ford
242,photo of a ford,28897,a ford
243,photo of a ford,3246,a ford
244,photo of a ford,46081,a ford
